y,x1,x2,x3,x4,x5,month_year
91.6261,0.695,6.63,1570.9,22.6,115232,2000-02-01
91.9626,0.819,6.23,1852.9,37.9,115573,2000-03-01
92.3118,0.857,6.05,1946.3,19.4,115932,2000-04-01
92.8872,0.732,5.85,2391.2,14.7,116631,2000-05-01
93.162,0.896,6.15,2209.9,20.9,117295,2000-06-01
93.2168,0.959,5.93,2008,12.4,117956,2000-07-01
93.04,0.829,5.85,2092.8,25.2,118606,2000-08-01
92.79,0.85,5.72,2023.1,23,119275,2000-09-01
93.1547,0.914,5.83,1903,31.7,119957,2000-10-01
92.8361,0.879,5.8,1952,23.7,120652,2000-11-01
92.8395,0.862,5.78,1700.7,16.4,121385,2000-12-01
92.5334,0.72,5.49,1648.3,26.1,122150,2001-01-01
92.0304,0.865,5.54,1626.26,5.7,122914,2001-02-01
91.4079,0.816,5.45,1794.65,-6.2,123719,2001-03-01
91.1751,0.771,5.34,1772,4.5,124571,2001-04-01
90.8767,1.001,5.65,1437.08,2.3,125498,2001-05-01
90.375,0.922,5.78,1359.42,9.8,126460,2001-06-01
89.8626,0.729,5.67,1438.14,2,127457,2001-07-01
89.3288,0.674,5.61,1461.81,0.8,128539,2001-08-01
89.2201,0.78,5.48,1254.32,5.4,129686,2001-09-01
88.7478,0.745,5.48,1179.59,8.6,130849,2001-10-01
88.4755,0.562,5.32,1148.85,6.8,132002,2001-11-01
87.9631,0.501,5.12,1017.8,0.3,133088,2001-12-01
87.9329,0.508,5.48,1223.77,11.2,134172,2002-01-01
88.5452,0.538,5.45,1245.8,24.3,135207,2002-02-01
88.5362,0.539,5.45,1217.32,10.2,136196,2002-03-01
89.2097,0.714,5.81,1427.72,10.6,137187,2002-04-01
89.6389,0.777,5.79,1390.01,14,138253,2002-05-01
90.0271,0.74,5.76,1319.67,12,139390,2002-06-01
90.7645,0.736,5.68,1305.48,22,140565,2002-07-01
90.7437,0.756,5.59,1393.12,20.4,141746,2002-08-01
90.6268,0.75,5.28,1216,5.8,143040,2002-09-01
90.7241,0.776,4.96,1086.81,16,144264,2002-10-01
90.4879,0.826,5.18,1118.59,16.4,145495,2002-11-01
90.9823,0.691,5.18,1039.2,26.2,146639,2002-12-01
90.4919,0.78,5.13,1190.31,10,147964,2003-01-01
91.2395,0.879,5.14,1256.03,10.4,149310,2003-02-01
91.3384,1.006,5.02,1176.51,12.4,150731,2003-03-01
91.069,0.963,5.03,1138.48,17.1,152181,2003-04-01
90.4913,0.81,5.13,1090.71,13.4,153747,2003-05-01
90.4697,0.783,4.76,1092.19,9,155343,2003-06-01
90.5899,0.826,4.62,1125.1,14,156895,2003-07-01
91.0614,0.885,5.13,1188.51,12.7,158426,2003-08-01
90.8452,0.982,5.45,1227.9,15.8,160018,2003-09-01
91.4453,0.81,5.28,1382.43,13.5,161668,2003-10-01
91.5595,0.844,5.3,1712.15,15.2,163326,2003-11-01
92.1763,0.82,5.25,1480.11,18,164933,2003-12-01
92.2532,0.853,5.21,1588.99,22.4,166460,2004-01-01
92.4067,0.984,5.13,1504.8,23.6,168015,2004-02-01
92.9687,1.027,5.08,1616.79,22.4,169591,2004-03-01
92.6,1.09,4.9,1653.72,20.1,171376,2004-04-01
92.9761,1.149,5.28,1783.13,26.9,173338,2004-05-01
93.6446,1.335,5.51,1761.47,22.6,175634,2004-06-01
92.9303,1.171,5.48,1767.6,20.5,178224,2004-07-01
93.6109,1.233,5.31,1682.45,26.5,181078,2004-08-01
93.6958,1.177,5.15,1717.07,23.9,184218,2004-09-01
93.7958,1.239,4.98,1673.79,20.7,187291,2004-10-01
94.6226,1.348,4.94,1730.87,25.6,190174,2004-11-01
94.8491,1.237,4.95,1807.47,25.6,192850,2004-12-01
95.5841,1.034,4.91,1848.1,27.9,195692,2005-01-01
95.9285,1.244,4.77,1860.88,21.2,198715,2005-02-01
96.6287,1.233,4.56,1966.69,22.7,202002,2005-03-01
96.4907,1.472,4.77,1916.14,26.4,205737,2005-04-01
96.6809,1.541,4.65,2088.8,31.7,210111,2005-05-01
96.7925,1.41,4.49,1988.63,16.3,214893,2005-06-01
97.19,1.521,4.28,1861.36,20.3,220055,2005-07-01
96.8981,1.603,4.38,1894.83,13.1,225533,2005-08-01
97.2223,1.935,4.44,2068.7,19.6,231122,2005-09-01
95.3463,2.305,4.45,2223.3,13.6,236441,2005-10-01
96.4981,1.801,4.64,2321.28,16.6,241192,2005-11-01
97.5646,1.444,4.7,2564.88,22.7,245585,2005-12-01
98.0222,1.565,4.62,2415.79,17.6,249727,2006-01-01
98.2044,1.693,4.57,2539.8,16.3,253633,2006-02-01
98.2404,1.537,4.57,2694.92,23,257267,2006-03-01
98.4742,1.832,4.73,2823.09,22.3,261220,2006-04-01
98.7765,2.16,5.06,2876.12,18.9,265617,2006-05-01
98.7884,2.042,5.2,2912.05,18.3,269575,2006-06-01
99.1069,2.123,5.15,3186.5,15.2,272703,2006-07-01
99.0357,2.27,5.13,2837.98,17.3,274595,2006-08-01
99.4583,2.001,5,2895.66,7.5,275796,2006-09-01
99.2544,1.56,4.85,3126.34,14.4,276024,2006-10-01
99.1514,1.51,4.85,2970.9,10.5,275661,2006-11-01
99.0974,1.563,4.69,2931.5,19,275030,2006-12-01
100.1117,1.597,4.68,3092.55,5.9,273967,2007-01-01
99.7226,1.41,4.85,3232.61,20.5,272784,2007-02-01
100.6919,1.612,4.82,3347.75,20.7,271595,2007-03-01
100.8857,1.85,4.72,3549.33,27,270222,2007-04-01
101.5777,2.162,4.87,3213.71,15.3,268635,2007-05-01
101.6481,2.305,4.9,3466.04,12.2,266492,2007-06-01
101.6741,2.155,5.2,3611.55,17.7,263885,2007-07-01
101.5627,2.128,5.11,3738.09,19.2,260784,2007-08-01
101.7751,1.966,4.93,3750.42,25.7,257449,2007-09-01
102.0279,2.111,4.79,3670.79,16.9,254096,2007-10-01
101.7289,2.121,4.77,3613.4,21.7,250653,2007-11-01
102.3185,2.359,4.52,3656.88,6.4,247011,2007-12-01
102.3074,2.275,4.53,3812.55,24.3,243352,2008-01-01
102.1686,2.315,4.33,3516.03,15.5,239246,2008-02-01
101.7673,2.408,4.52,3421.25,6.1,235354,2008-03-01
101.3986,2.562,4.39,3045.06,3.5,231078,2008-04-01
100.7238,2.796,4.44,2887.37,14.9,227098,2008-05-01
100.1399,3.107,4.6,3028.85,16.8,222653,2008-06-01
99.9141,3.284,4.69,2979.09,3.6,218522,2008-07-01
99.4943,3.158,4.57,2892.23,8.3,214217,2008-08-01
97.9367,2.937,4.5,2558.49,11.4,209705,2008-09-01
93.6585,3.138,4.27,2716.64,13.4,205143,2008-10-01
94.5845,1.786,4.17,2584.29,-3.7,200526,2008-11-01
93.3455,1.204,4,2413.85,-11.3,196028,2008-12-01
90.7183,0.93,2.87,1818.45,-18.6,191773,2009-01-01
88.4683,1.148,3.13,1706.22,-17.6,187781,2009-02-01
87.936,1.195,3.59,1877.44,-15.4,184339,2009-03-01
86.5503,1.288,3.64,1532.55,-16.2,181016,2009-04-01
85.8598,1.349,3.76,1380.24,-3.5,177643,2009-05-01
84.9991,1.657,4.23,1523.8,-2.8,174427,2009-06-01
84.7277,1.889,4.52,1874.53,1.1,171402,2009-07-01
85.7091,1.705,4.41,1916.76,1.3,168955,2009-08-01
86.6333,1.888,4.37,1883.16,2,166610,2009-09-01
87.3615,1.735,4.19,2158.54,-1.5,164461,2009-10-01
87.5488,1.885,4.19,2199.6,7.5,162709,2009-11-01
87.9144,1.926,4.31,2255.68,11.6,161706,2009-12-01
